Case: Case Number,Case: Subject,Case: Description,Case: Product Name,Automation Item Name,Created Date,Body,Feedback,Detailed Feedback,Case: Status,Case: Client Escalated,processed_text
TS017525407,Email - We required high uninitialized Luns/hosts (High workload) and any hardware issues observed at storage end,We required high uninitialized Luns/hosts (High workload) and any hardware issues observed at storage end,DS8900F,AI-1560218,2024-10-14,"Customer Sentiment Not available Description Summary Not Summarized Email - We required high uninitialized Luns/hosts (High workload) and any hardware issues observed at storage end We required high uninitialized Luns/hosts (High workload) and any hardware issues observed at storage end Feed Summary Summary: ICICI Bank requested assistance with high uninitialized LUNs/hosts and potential hardware issues on their DS8900F storage system. IBM Support requested more information about the high uninitialized LUNs/hosts and any observed hardware issues. ICICI Bank provided a time frame for the issue and confirmed there were no open events or hardware issues during that time. They also requested information on which LSS/host were consuming high load during the specified time stamps. IBM Support recommended a bandwidth study of the existing dark fiber links between NDC/ODC and COLO sites and the configuration of Spectrum Control monitoring software to send reports about host workload metrics. IBM Expert Labs team can conduct bandwidth study and configure Spectrum Control reporting. IBM Support also requested spectrum control reports for the time frame 07-10-2024 10:00 - 17:00 hrs from all the 3 storage systems. ICICI Bank later provided spectrum control reports for two of the storage systems and requested analysis. IBM Support analyzed the reports and provided a table with the replication bandwidth for each system during the specified time stamps. The maximum combined send replication bandwidth for the two systems did not exceed 4Gbps, and the maximum send replication bandwidth for the third system did not exceed 2.5Gbps. IBM Support also noted SAN congestion on the metro mirror ports in all three DS8K systems, which could impact the write latency of host applications. They recommended engaging with the SAN Support team to analyze the buffer starvation issue on the metro mirror ports and engaging with link vendors to optimize the link latencies. ICICI Bank later requested information on the sessions running during the specified time frame, but IBM Support noted that session related information is not available in spectrum control performance package. Resolution Summary Confirmed Solution *Generated by watsonx*: The maximum combined send replication bandwidth on systems MR90 and VG20 is 441 MiBps. The link throughput from DC sites to COLO site does not exceed 4Gbps for the problem timestamps. The maximum send replication bandwidth on system MR80 is 280 MiBps. The link throughput from COLO site to DC sites does not exceed 2.5Gbps for the problem timestamps. However, there is SAN congestion on the metro mirror ports in all the 3 DS8K systems, which can have an impact on the write latency of the host applications. Recommendations to resolve the issue include engaging with the SAN Support team to analyze the buffer starvation issue on the metro mirror ports and engaging with link vendors to optimize the link latencies to be as close to each other as possible. No actions are recommended on the DS8K systems. Solution Attempts *Generated by watsonx*: The hardware analysis shows that all 3 DS8K storage systems are operating in optimal status during the specified problem window and there are no hardware issues that can lead to a performance problem. The support team has requested more information, including clarification of what is meant by high uninitialized LUNs/hosts, a list of affected lss/volume IDs/volume group/cluster/host on each DS8K system, and details about the impact to the application due to the reported performance problem. They have also asked for observations from the database and OS perspectives.",None,good,Closed by IBM,0,customer sentiment available description summary summarized email required high uninitialized high workload hardware issue observed storage end required high uninitialized high workload hardware issue observed storage end feed summary summary icici bank requested assistance high uninitialized potential hardware issue storage system ibm support requested information high uninitialized observed hardware issue icici bank provided time frame issue confirmed open event hardware issue time also requested information consuming high load specified time stamp ibm support recommended bandwidth study existing dark fiber link colo site configuration spectrum control monitoring software send report host workload metric ibm expert lab team conduct bandwidth study configure spectrum control reporting ibm support also requested spectrum control report time frame hr storage system icici bank later provided spectrum control report two storage system requested analysis ibm support analyzed report provided table replication bandwidth system specified time stamp maximum combined send replication bandwidth two system exceed maximum send replication bandwidth third system exceed ibm support also noted san congestion metro mirror port three system could impact write latency host application recommended engaging san support team analyze buffer starvation issue metro mirror port engaging link vendor optimize link latency icici bank later requested information session running specified time frame ibm support noted session related information available spectrum control performance package resolution summary confirmed solution generated watsonx maximum combined send replication bandwidth system mibps link throughput dc site colo site exceed problem timestamps maximum send replication bandwidth system mibps link throughput colo site dc site exceed problem timestamps however san congestion metro mirror port system impact write latency host application recommendation resolve issue include engaging san support team analyze buffer starvation issue metro mirror port engaging link vendor optimize link latency close possible action recommended system solution attempt generated watsonx hardware analysis show storage system operating optimal status specified problem window hardware issue lead performance problem support team requested information including clarification meant high uninitialized list affected system detail impact application due reported performance problem also asked observation database o perspective
TS017538910,SWITCH REBOOT,"2 reboot events ""Non restartable component (fdmi (pid=1207)) died""",SAN b-type Collection,AI-1561615,2024-10-14,"Customer Sentiment neutral Description Summary Not Summarized SWITCH REBOOT 2 reboot events ""Non restartable component (fdmi (pid=1207)) died"" Feed Summary Subject: SWITCH REBOOT Description: 2 reboot events with error message ""Non restartable component (fdmi (pid=1 Resolution Summary Confirmed Solution *Generated by watsonx*: Probable Cause: Indicates that the software watchdog has detected termination of a restartable daemon and needs to restart or initiate a failover. Recommended Action: Execute the reboot command to restart the system or initiate a failover by using the haFailover command. My recommendation is, please do: hareboot, haFailover is for bigger switches(directors with blades in). This should fix the issue. Solution Attempts Not Summarized",None,ok,Closed by IBM,0,customer sentiment neutral description summary summarized switch reboot reboot event non restartable component fdmi died feed summary subject switch reboot description reboot event error message non restartable component fdmi resolution summary confirmed solution generated watsonx probable cause indicates software watchdog detected termination restartable daemon need restart initiate failover recommended action execute reboot command restart system initiate failover using hafailover command recommendation please hareboot hafailover bigger switch director blade fix issue solution attempt summarized
TS017505135,Email-LUN Total Latency is greater than or equal to 20ms,LUN Total Latency is greater than or equal to 20ms,FlashSystem 9200,AI-1562015,2024-10-14,"Customer Sentiment Not available Description Summary Not Summarized Email-LUN Total Latency is greater than or equal to 20ms LUN Total Latency is greater than or equal to 20ms Feed Summary The customer reported an issue with high latency on a specific host and volume. The customer was asked to provide more information, including the timeframe and impact of the issue. The customer provided a list of volumes and hosts, but no specific timeframe or impact details. The customer was reminded that performance investigations are not typically done on systems with EOS firmware, but the support team agreed to help within reason. The support team requested a snap 4 and logs from the customer, but did not receive a response. The customer later submitted a log, but it did not contain any useful information for the timeframe in question. The support team requested a new log and snap 4 during the timeframe of the issue, but did not receive a response. The case was then assigned to a global support team for further assistance. Resolution Summary Confirmed Solution Not Summarized Solution Attempts Not Summarized: in 4 reply",None,"Very useful feather to have , thanks",IBM is working,0,customer sentiment available description summary summarized total latency greater equal lun total latency greater equal feed summary customer reported issue high latency specific host volume customer asked provide information including timeframe impact issue customer provided list volume host specific timeframe impact detail customer reminded performance investigation typically done system eos firmware support team agreed help within reason support team requested snap log customer receive response customer later submitted log contain useful information timeframe question support team requested new log snap timeframe issue receive response case assigned global support team assistance resolution summary confirmed solution summarized solution attempt summarized reply
TS017519459,Expired Certificates (EXPIRED_CERTS),"Good afternoon, we recently received several warnings through SAN-NAV: Rule Name C_EC_G0_N_x_RTxxxx Rule Condition CHASSIS(EXPIRED_CERTS/NONE>0) Severity Warning Switch Severity Warning Measure Value 2 Actions RAS Log Event,SNMP Trap Questions ======== What kind of license it refers at? What steps do we have to take? If is a new license, where do we can to get it? Thanks in advance",SAN b-type Collection,AI-1562168,2024-10-14,"Customer Sentiment neutral Description Summary Not Summarized Expired Certificates (EXPIRED_CERTS) Good afternoon, we recently received several warnings through SAN-NAV: Rule Name C_EC_G0_N_x_RTxxxx Rule Condition CHASSIS(EXPIRED_CERTS/NONE>0) Severity Warning Switch Severity Warning Measure Value 2 Actions RAS Log Event,SNMP Trap Questions What kind of license it refers at? What steps do we have to take? If is a new license, where do we can to get it? Thanks in advance Feed Summary Customer reported warnings in SAN-NAV regarding expired certificates. IBM support requested logs and details about the asset. After analyzing the logs, IBM support determined that the certificates on the switch were not expired, but the switch had detected expired certificates on the SANNAV. IBM support provided instructions for the customer to check for expired certificates on the SANNAV and continue to monitor for new appearances of the error. The case was put on hold for a week, and the customer was advised to check the SANNAV and provide the output of the command ""seccertmgmt show -ca -server kafka"" to determine the validity of the Kafka certificate. IBM support provided instructions for renewing the Kafka certificate and will continue to work with the customer to implement the renewal procedure. Resolution Summary Confirmed Solution Not Summarized: I have sent you a message from my mailbox with the procedure for the kafka renewal. Solution Attempts Not Summarized",None,ok,Closed by IBM,0,customer sentiment neutral description summary summarized expired certificate good afternoon recently received several warning rule name rule condition chassis severity warning switch severity warning measure value action ra log event snmp trap question kind license refers step take new license get thanks advance feed summary customer reported warning regarding expired certificate ibm support requested log detail asset analyzing log ibm support determined certificate switch expired switch detected expired certificate sannav ibm support provided instruction customer check expired certificate sannav continue monitor new appearance error case put hold week customer advised check sannav provide output command seccertmgmt show kafka determine validity kafka certificate ibm support provided instruction renewing kafka certificate continue work customer implement renewal procedure resolution summary confirmed solution summarized sent message mailbox procedure kafka renewal solution attempt summarized
TS017504642,Email - Need to change the SFP fault,Need to change the SFP,SAN c-type Collection,AI-1562711,2024-10-14,"Customer Sentiment neutral Description Summary Not Summarized Email - Need to change the SFP fault Need to change the SFP Feed Summary Customer requested assistance with changing an SFP (Small Form-factor Pluggable) on a SAN (Storage Area Network) switch. The customer provided the port number (fc2/4 Resolution Summary Confirmed Solution *Generated by watsonx*: Please check SFP and HBA of the remote side of port fc2/46. If all is good there, please replace the cable and then do shut/noshut of the port in order to revive the link and then please send us new logs for check. Solution Attempts Not Summarized",None,ok,Closed by IBM,0,customer sentiment neutral description summary summarized email need change sfp fault need change sfp feed summary customer requested assistance changing sfp small pluggable san storage area network switch customer provided port number resolution summary confirmed solution generated watsonx please check sfp hba remote side port good please replace cable port order revive link please send u new log check solution attempt summarized
TS017578100,VIOS and Power OS and firmware life cycle level confirmations,"Submitting this case to get confirmation on the current end of lifecycle for VIO and server firmware levels on Power 9 and power 10. I tried searching IBM technotes for confirmation on what levels are supported, but was unable to find anything specific or that confirmed what I was looking for. Please let me know",PowerVM / VIOS,AI-1564389,2024-10-14,"Customer Sentiment neutral Description Summary The customer is seeking confirmation on the current end-of-life (EOL) levels for VIOS and Power OS firmware on Power 9 and Power 10 systems. They have been unable to find the information through IBM technotes. Feed Summary Customer requested confirmation on the current end of lifecycle for VIOS product and server firmware levels on Power 9 and Power 1 Resolution Summary Confirmed Solution Not Summarized Solution Attempts *Generated by watsonx*: The service request was routed to PowerVM VIOS Support, and I have taken ownership. This case will remain opened through Oct 17. I opened a separate service request on your behalf for Hardware Support to assist with server firmware levels on Power 9 and power 10. The new case is TS017579234. Refer to the following URL for details about the lifecycle for VIOS product:",Missing information,"URL missing + Unnecessary verbiage included --> ""The service request was routed to PowerVM VIOS Support, and I have taken ownership. This case will remain opened through Oct 17.""",Closed by IBM,0,customer sentiment neutral description summary customer seeking confirmation current eol level vios power o firmware power power system unable find information ibm technotes feed summary customer requested confirmation current end lifecycle vios product server firmware level power power resolution summary confirmed solution summarized solution attempt generated watsonx service request routed powervm vios support taken ownership case remain opened oct opened separate service request behalf hardware support assist server firmware level power power new case refer following url detail lifecycle vios product
TS017167652,KPIBDCP11FS9006 : Node warmstarted due to an internal error,"Date: 07/09/2024 Summary: tsveETrap: tsve error trap Severity: 3 ResourceId: 10.15.116.55 ServerSerial: 17910352 ServerName: NCO_PRI CustomerCode: kp1 InstanceId: Generic(6) Specific(1) Service: staas-bld AlertKey: # Machine Type = 9846AG8# Serial Number = 78E3638 # Error ID = 74002 : Node warmstarted due to an internal error# Error Code = 2030 : Internal error# System Version = 8.5.0.9 (build 157.15.2306271144000) # FRU = None # System Name = KPIBDCP11FS9006# Node ID NodeAlias: 10.15.116.55 node got warmstarted , please check.",FlashSystem 9200,AI-1565671,2024-10-14,"Customer Sentiment neutral Description Summary An internal error occurred on the KPIBDCP11FS9006 node, causing it to warmstart. The error was indicated by the tsve error trap and error code 2030. The system version is 8.5.0.9 (build 157.15.2306271144000). No FRU was identified for this issue. The customer should check the status of the node. Feed Summary A node in a storage system (Serial Number: 78E3638, Machine Type: 9846AG8) experienced an internal error and warmstarted. The error was caused by a rare race condition triggered by multiple aborts and IO issues. The issue is addressed by APAR HU02600, which is fixed in 8.6.0.0. The customer is planning to upgrade to 8.5.0.12 instead. The customer was also experiencing issues with an SFP FRU and requested a replacement. A work order was submitted and the part was delivered to the data center. The customer also requested a PO for the part, but it was determined that a PO was not needed as the customer will retain the part. The case was then closed. Resolution Summary Confirmed Solution Not Summarized Solution Attempts Not Summarized: Greetings from IBM! Technical analysis: Nodes: KPIBDCP11FS9006 | Topology: standard | 2024-09-07 19:44:08 ID PanelID FileID Name Type IOGID IOGName Status Version 1 01-1 78E3638-1 node1 AG8 0 io_grp0 online 8.5.0.9 < config node 2 01-2 78E3638-2 node2 AG8 0 io_grp0 online 8.5.0.9 SVC Cluster Version : 8.5.0.9 (build 157.15.2306271144000) 22Q1 SVC Upgrade Status : inactive Event: 2024-09-07 (3) 17:16:30 <---- --- node2 node 2 539 <---- 1 74002 Node Assert 2030 Unfixed (snmp) ERROR 1 Node Assert Assert File /build/lodestone22Q1_8509/230627_1144/src/user/drv/fcoe/fc2_dma_pool.c Line 95 Node asserted with assert string fc2_dma_pool.c Line 123. The node asserted because dma_alloc_count suggests the pool has no free objects, however, there are some objects available in free list underneath. This is caused by a rare race condition triggered by multiple aborts and IO issues. This issue is addressed by APAR HU02600. Fixed in 8.6.0.0:",Missing information,customer did not request FRU,Closed by IBM,0,customer sentiment neutral description summary internal error occurred node causing warmstart error indicated tsve error trap error code system version build fru identified issue customer check status node feed summary node storage system serial number machine type experienced internal error warmstarted error caused rare race condition triggered multiple abort io issue issue addressed apar fixed customer planning upgrade instead customer also experiencing issue sfp fru requested replacement work order submitted part delivered data center customer also requested po part determined po needed customer retain part case closed resolution summary confirmed solution summarized solution attempt summarized greeting ibm technical analysis node topology standard id panelid fileid name type iogid iogname status version online config node online svc cluster version build svc upgrade status inactive event node node assert unfixed snmp error node assert assert file line node asserted assert string line node asserted suggests pool free object however object available free list underneath caused rare race condition triggered multiple abort io issue issue addressed apar fixed
TS017467648,Email: PATH HAS FAILED & Recovered error,PATH HAS FAILED & Recovered error,AIX,AI-1566456,2024-10-15,"Customer Sentiment Not available Description Summary Not Summarized Email: PATH HAS FAILED & Recovered error PATH HAS FAILED & Recovered error Feed Summary Summary: The customer reported a PATH HAS FAILED & Recovered error. The customer was asked to collect a snap from the affected AIX server along with a VIOS snap and upload it for review. The customer was also provided with instructions for AIX snap and VIOS snap. The customer was also provided with a link to upload the files. The customer faced issues while sending mail to some of the email addresses, and the mails were rejected. The customer was then provided with an alternative email address to send the snaps. The support team analyzed the snaps and found that there are errors on 4 paths from fcs0 and on 1 path for each fcs1, fcs2 & fcs3. The support team also found that the HBA microcode is not on the latest microcode level and recommended updating it. The support team also provided some candidates for the RCA, such as a common cable or ISL line, a common storage port, a common switch or switch port, a common GBIC/SFP, or a SAN issue. The customer was asked to plan a microcode update for the adapters as it may resolve some future issues. The customer was also asked to check the netstat of fcs0, which showed a high invalid Tx word count. The support team explained that this error counter is only relevant for communications at the physical layer / Tx / Rx between the switch and the HBA. The customer was also provided with some recommendations to avoid such path errors in the future. The support team also informed the customer that the HBA microcode update is a recommendation that may resolve some future issues. The customer was also informed that the case would be closed if no further action was taken.",None,None,Closed by IBM,0,customer sentiment available description summary summarized email path failed recovered error path failed recovered error feed summary summary customer reported path failed recovered error customer asked collect snap affected aix server along vios snap upload review customer also provided instruction aix snap vios snap customer also provided link upload file customer faced issue sending mail email address mail rejected customer provided alternative email address send snap support team analyzed snap found error path path support team also found hba microcode latest microcode level recommended updating support team also provided candidate rca common cable isl line common storage port common switch switch port common san issue customer asked plan microcode update adapter may resolve future issue customer also asked check netstat showed high invalid tx word count support team explained error counter relevant communication physical layer tx rx switch hba customer also provided recommendation avoid path error future support team also informed customer hba microcode update recommendation may resolve future issue customer also informed case would closed action taken
TS017557953,Create PPRC error when we use ese volume on both Primary and secondary,"There is error when we use ese volume for opensystem in DS8910F and create pprc. The command is below: mkpprc -dev IBM.2107-75LCK91 -remotedev IBM.2107-78MYP31 -type gcp 7200-7201:7200-7201 Erroro message as below: CMUN02649E SOURCE The task cannot be initiated. Either you did not specify the Permit space-efficient Target or Secondary option, or at least one of the options that you have specified is not supported for a space-efficient target or secondary volume. Do we need to add parameter -tgtse when we make pprc ?",DS8900F,AI-1567629,2024-10-15,"Customer Sentiment positive Description Summary The customer encountered an error when creating a PPRC (Peer-to-Peer Remote Copy) relationship between two DS8910F systems using an ESE (Enterprise Storage Edition) volume for both the primary and secondary devices. The error message ""CMUN02649E"" indicated that the customer either needed to specify the Permit space-efficient Target or Secondary option or ensure that at least one of the specified options is supported for a space-efficient target or secondary volume. The customer's actions included attempting to create the PPRC relationship using the provided command, which resulted in the error. The solution required adding the ""-tgtse"" parameter to the command, as space-efficient volumes require this parameter for the PPRC relationship to be established. Feed Summary Not available",None,accurate,Closed by Client,0,customer sentiment positive description summary customer encountered error creating pprc remote copy relationship two system using ese enterprise storage edition volume primary secondary device error message indicated customer either needed specify permit target secondary option ensure least one specified option supported target secondary volume customer action included attempting create pprc relationship using provided command resulted error solution required adding parameter command volume require parameter pprc relationship established feed summary available
TS017560111,Switch status Marginal after renew expired HTTPS certificate,"Hello, We have noticed two of our SAN switches entered Marginal status due to expired HTTP certificate. This event was seen: 2024/10/09-23:59:25 (GMT), [MAPS-1021], 10266, FID 128, WARNING, FCSWD6, RuleName=defCHASSISCERTS_EXPIRED, Condition=CHASSIS(EXPIRE D_CERTS/NONE>0), Obj:Chassis [EXPIRED_CERTS,1 certs] has contributed to switch status MARGINAL. 2024/10/09-23:59:25 (GMT), [MAPS-1020], 10267, FID 128, WARNING, FCSWD6, Switch wide status has changed from HEALTHY to MARGINAL. Only the HTTPS certificate exists and I have generated a new one, but the switch status remain Marginal FCSWD6:FID128:admin> seccertmgmt show -all ssh private key: Does not Exist ssh public keys available for users: admin Certificate Files: -------------------------------------------------------------------------------------------------------------------- Protocol Client CA Server CA SW CSR PVT Key Passphrase -------------------------------------------------------------------------------------------------------------------- FCAP Empty NA Empty Empty Empty Empty RADIUS Empty Empty Empty Empty Empty NA LDAP Empty Empty Empty Empty Empty NA SYSLOG Empty Empty Empty Empty Empty NA HTTPS NA Empty Exist Empty Exist NA KAFKA NA Empty NA NA NA NA ASC NA Empty NA NA NA NA FCSWD6:FID128:admin> seccertmgmt show -cert https Issued To countryName = US stateOrProvinceName = California localityName = San Jose organizationName = org organizationalUnitName = unit commonName = 10.16.131.39 Issued By countryName = US stateOrProvinceName = California localityName = San Jose organizationName = org organizationalUnitName = unit commonName = 10.16.131.39 Period Of Validity Begins On Oct 11 04:36:13 2024 GMT Expires On Oct 11 04:36:13 2026 GMT FCSWD6:FID128:admin> mapsdb --show 1 Dashboard Information: ======================= DB start time: Wed Feb 15 08:38:02 2023 Active policy: dflt_base_policy Configured Notifications: SW_CRITICAL,SW_MARGINAL,SFP_MARGINAL,FPIN Fenced Ports : None Decommissioned Ports : None Fenced circuits : N/A Quarantined Ports : None Top Zoned PIDs <pid(it-flows)>: 0x030201(25) 0x030001(25) 0x030601(24) 0x030401(24) 0x030301(20) 2 Switch Health Report: ======================= Current Switch Policy Status: MARGINAL Contributing Factors: --------------------- *EXPIRED_CERTS (MARGINAL). 3.2 Rules Affecting Health: =========================== Category(Violation Count)|RepeatCount|Rule Name |Execution Time |Object |Triggered Value(Units)| ----------------------------------------------------------------------------------------------------------------------------- Security Violations(1) |1 |defCHASSISCERTS_EXPIRED |10/09/24 23:59:25|Chassis |1 certs | What else should we do for the switch to exit the Marginal status? Thank you.",SAN b-type Collection,AI-1568341,2024-10-15,"Customer Sentiment neutral Description Summary The customer has noticed that two of their SAN switches have entered a Marginal status due to expired HTTP certificates. They have generated a new HTTPS certificate, but the switch status remains Marginal. The customer should verify that the new certificate has been properly installed and configured on the switches. They may also want to check the switch's configuration and ensure that the certificate is being recognized. Additionally, they should monitor the switches for any further changes in status. Feed Summary The customer reported that two of their SAN switches entered Marginal status due to an expired HTTP certificate. The customer has already generated a new HTTPS certificate, but the switch status remains Marginal. The customer does not use SANnav, so they will reboot the switches in an out-of-business window. The support team suggested trying ""hareboot"" first and then rebooting the switch if that doesn't work. The customer was informed to let the support team know when the tests are finished.",None,ok,Closed by Client,0,customer sentiment neutral description summary customer noticed two san switch entered marginal status due expired http certificate generated new http certificate switch status remains marginal customer verify new certificate properly installed configured switch may also want check switch configuration ensure certificate recognized additionally monitor switch change status feed summary customer reported two san switch entered marginal status due expired http certificate customer already generated new http certificate switch status remains marginal customer use sannav reboot switch window support team suggested trying hareboot first rebooting switch work customer informed let support team know test finished
